Anwendung,Raumwärme,Warmwasser,Prozesswärme,Klimakälte,Prozesskälte,Beleuchtung,IKT,Mechanische Antriebe,Total
2019-01-01 00:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16452.25,72047.25
2019-01-01 01:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16785.75,72380.75
2019-01-01 02:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16615.75,72210.75
2019-01-01 03:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,17007.25,72602.25
2019-01-01 04:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16559.25,72154.25
2019-01-01 05:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16087.25,71682.25
2019-01-01 06:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16317.25,71912.25
2019-01-01 07:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16169.75,71764.75
2019-01-01 08:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16657.0,72252.0
2019-01-01 09:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16757.25,72352.25
2019-01-01 10:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16721.0,72316.0
2019-01-01 11:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16781.0,72376.0
2019-01-01 12:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16125.75,71720.75
2019-01-01 13:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16012.5,71607.5
2019-01-01 14:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16547.5,72142.5
2019-01-01 15:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16439.75,72034.75
2019-01-01 16:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16487.0,72082.0
2019-01-01 17:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16546.5,72141.5
2019-01-01 18:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,15977.5,71572.5
2019-01-01 19:00:00,0.0,0.0,55471.0,0.0,0.0,124.0,0.0,16711.0,72306.0
2019-01-01 20:00:00,0.0,0.0,55609.0,0.0,0.0,130.0,0.0,16976.25,72719.5
2019-01-01 21:00:00,0.0,0.0,56430.75,0.0,0.0,132.0,0.0,16719.25,73282.25
2019-01-01 22:00:00,0.0,0.0,58674.75,0.0,0.0,142.25,0.0,17356.75,76176.0
2019-01-01 23:00:00,0.0,0.0,62540.0,0.0,0.0,161.0,0.0,18483.75,81182.75
2019-01-02 00:00:00,0.0,0.0,63547.0,0.0,0.0,132.0,0.0,18958.25,82638.25
2019-01-02 01:00:00,0.0,0.0,63834.25,0.0,0.0,134.0,0.0,19032.0,83000.75
2019-01-02 02:00:00,0.0,0.0,64051.0,0.0,0.0,136.0,0.0,19232.5,83421.5
2019-01-02 03:00:00,0.0,0.0,63565.75,0.0,0.0,132.0,0.0,19426.25,83124.25
2019-01-02 04:00:00,0.0,0.0,63912.75,0.0,0.0,134.0,0.0,18543.5,82590.5
2019-01-02 05:00:00,0.0,0.0,65865.5,0.0,0.0,144.5,0.0,20342.0,86354.25
2019-01-02 06:00:00,0.0,0.0,69301.25,0.0,0.0,163.0,0.0,20561.0,90025.0
2019-01-02 07:00:00,0.0,0.0,73009.0,0.0,0.0,181.75,0.0,21589.0,94777.5
2019-01-02 08:00:00,0.0,0.0,75560.75,0.0,0.0,194.0,0.0,22521.75,98279.25
2019-01-02 09:00:00,0.0,0.0,76442.75,0.0,0.0,198.0,0.0,22311.75,98954.75
2019-01-02 10:00:00,0.0,0.0,76446.5,0.0,0.0,198.0,0.0,22407.0,99054.0
2019-01-02 11:00:00,0.0,0.0,76570.5,0.0,0.0,198.0,0.0,22974.75,99745.5
2019-01-02 12:00:00,0.0,0.0,76795.5,0.0,0.0,198.0,0.0,22918.5,99916.0
2019-01-02 13:00:00,0.0,0.0,76719.0,0.0,0.0,198.0,0.0,22719.5,99637.25
2019-01-02 14:00:00,0.0,0.0,75998.75,0.0,0.0,198.0,0.0,22812.25,99007.0
2019-01-02 15:00:00,0.0,0.0,74605.0,0.0,0.0,190.0,0.0,21788.25,96583.25
2019-01-02 16:00:00,0.0,0.0,72831.75,0.0,0.0,179.75,0.0,21769.0,94782.5
2019-01-02 17:00:00,0.0,0.0,71235.75,0.0,0.0,173.0,0.0,21344.0,92751.25
2019-01-02 18:00:00,0.0,0.0,70265.25,0.0,0.0,165.0,0.0,20395.5,90829.75
2019-01-02 19:00:00,0.0,0.0,69937.0,0.0,0.0,165.0,0.0,20834.75,90937.0
2019-01-02 20:00:00,0.0,0.0,69803.0,0.0,0.0,165.0,0.0,21179.5,91149.5
2019-01-02 21:00:00,0.0,0.0,69278.5,0.0,0.0,165.0,0.0,20832.0,90269.0
2019-01-02 22:00:00,0.0,0.0,67853.75,0.0,0.0,155.0,0.0,20234.5,88247.25
2019-01-02 23:00:00,0.0,0.0,64808.5,0.0,0.0,138.25,0.0,19309.25,84256.75
2019-01-03 00:00:00,0.0,0.0,63547.0,0.0,0.0,132.0,0.0,18554.0,82234.0
2019-01-03 01:00:00,0.0,0.0,63834.25,0.0,0.0,134.0,0.0,18839.75,82808.5
2019-01-03 02:00:00,0.0,0.0,64051.0,0.0,0.0,136.0,0.0,19418.0,83607.0
2019-01-03 03:00:00,0.0,0.0,63565.75,0.0,0.0,132.0,0.0,18551.75,82249.75
2019-01-03 04:00:00,0.0,0.0,63912.75,0.0,0.0,134.0,0.0,18834.25,82881.25
2019-01-03 05:00:00,0.0,0.0,65865.5,0.0,0.0,144.5,0.0,19398.25,85410.5
2019-01-03 06:00:00,0.0,0.0,69301.25,0.0,0.0,163.0,0.0,20946.5,90410.5
2019-01-03 07:00:00,0.0,0.0,73009.0,0.0,0.0,181.75,0.0,21617.0,94805.5
2019-01-03 08:00:00,0.0,0.0,75560.75,0.0,0.0,194.0,0.0,22421.0,98178.5
2019-01-03 09:00:00,0.0,0.0,76442.75,0.0,0.0,198.0,0.0,22409.0,99052.0
2019-01-03 10:00:00,0.0,0.0,76446.5,0.0,0.0,198.0,0.0,22496.25,99143.25
2019-01-03 11:00:00,0.0,0.0,76570.5,0.0,0.0,198.0,0.0,22656.75,99427.5
2019-01-03 12:00:00,0.0,0.0,76795.5,0.0,0.0,198.0,0.0,22721.5,99719.0
2019-01-03 13:00:00,0.0,0.0,76719.0,0.0,0.0,198.0,0.0,23037.0,99954.75
2019-01-03 14:00:00,0.0,0.0,75998.75,0.0,0.0,198.0,0.0,22353.75,98548.5
2019-01-03 15:00:00,0.0,0.0,74605.0,0.0,0.0,190.0,0.0,21635.0,96430.0
2019-01-03 16:00:00,0.0,0.0,72831.75,0.0,0.0,179.75,0.0,21942.0,94955.5
2019-01-03 17:00:00,0.0,0.0,71235.75,0.0,0.0,173.0,0.0,21420.0,92827.25
2019-01-03 18:00:00,0.0,0.0,70265.25,0.0,0.0,165.0,0.0,21023.0,91457.25
2019-01-03 19:00:00,0.0,0.0,69937.0,0.0,0.0,165.0,0.0,20541.25,90643.5
2019-01-03 20:00:00,0.0,0.0,69803.0,0.0,0.0,165.0,0.0,21056.75,91026.75
2019-01-03 21:00:00,0.0,0.0,69278.5,0.0,0.0,165.0,0.0,20970.5,90407.5
2019-01-03 22:00:00,0.0,0.0,67853.75,0.0,0.0,155.0,0.0,20153.25,88166.0
2019-01-03 23:00:00,0.0,0.0,64808.5,0.0,0.0,138.25,0.0,19153.5,84101.0
2019-01-04 00:00:00,0.0,0.0,63547.0,0.0,0.0,132.0,0.0,18786.5,82466.5
2019-01-04 01:00:00,0.0,0.0,63834.25,0.0,0.0,134.0,0.0,19098.0,83066.75
2019-01-04 02:00:00,0.0,0.0,64051.0,0.0,0.0,136.0,0.0,19478.75,83667.75
2019-01-04 03:00:00,0.0,0.0,63565.75,0.0,0.0,132.0,0.0,18669.75,82367.75
2019-01-04 04:00:00,0.0,0.0,63912.75,0.0,0.0,134.0,0.0,19115.25,83162.25
2019-01-04 05:00:00,0.0,0.0,65865.5,0.0,0.0,144.5,0.0,19627.0,85639.25
2019-01-04 06:00:00,0.0,0.0,69301.25,0.0,0.0,163.0,0.0,20085.0,89549.0
2019-01-04 07:00:00,0.0,0.0,73009.0,0.0,0.0,181.75,0.0,21230.75,94419.25
2019-01-04 08:00:00,0.0,0.0,75560.75,0.0,0.0,194.0,0.0,22562.25,98319.75
2019-01-04 09:00:00,0.0,0.0,76442.75,0.0,0.0,198.0,0.0,22324.5,98967.5
2019-01-04 10:00:00,0.0,0.0,76446.5,0.0,0.0,198.0,0.0,23238.25,99885.25
2019-01-04 11:00:00,0.0,0.0,76570.5,0.0,0.0,198.0,0.0,22372.0,99142.75
2019-01-04 12:00:00,0.0,0.0,76795.5,0.0,0.0,198.0,0.0,23239.25,100236.75
2019-01-04 13:00:00,0.0,0.0,76719.0,0.0,0.0,198.0,0.0,22676.75,99594.5
2019-01-04 14:00:00,0.0,0.0,75998.75,0.0,0.0,198.0,0.0,22047.5,98242.25
