,EAF,H2-DRI+EAF,NG-DRI+EAF,ISW,H2-DRI+EAF_biogas,EAF_biogas
elec,0.667,0.69,0.69,0.01,0.69,0.667
coal,0.021,0.0,0.0,0.17,0.0,0.021
coke,0.0,0.0,0.0,0.4,0.0,0.0
biomass,0.0,0.0,0.0,0.0,0.0,0.7
methane,0.05710724050632911,0.57,2.94,0.17,0.0,0.0
bio-methane,0.0,0.0,0.0,0.0,0.57,0.0
hydrogen,0.0,1.91,0.0,0.0,1.91,0.0
heat,0.0,0.0,0.0,0.0,0.0,0.0
naphtha,0.0,0.0,0.0,0.0,0.0,0.0
steam,0.0,0.0,0.0,0.0,0.0,0.0
waste,0.0,0.0,0.0,0.0,0.0,0.0
emissions before cc,0.0,0.0,0.0,0.0,0.0,0.0
process emission,0.053,0.09,0.51,1.71,0.0,0.0
fuel emissions,0.0,0.0,0.0,0.0,0.0,0.0
