,CEM I+coal-waste,MEA+CEM I+coal-waste,CEM I+waste,MEA+CEM I+waste,CEM I+biomass,MEA+CEM I+biomass,CEM I+NG,MEA+CEM I+NG,CEM I+H2,MEA+CEM I+H2,CEM II/C-M+coal-waste,MEA+CEM II/C-M+coal-waste,CEM II/C-M+waste,MEA+CEM II/C-M+waste,CEM II/C-M+biomass,MEA+CEM II/C-M+biomass,CEM II/C-M+NG,MEA+CEM II/C-M+NG,CEM II/C-M+H2,MEA+CEM II/C-M+H2,CEM II/AB-M+coal-waste,MEA+CEM II/AB-M+coal-waste,CEM II/AB-M+waste,MEA+CEM II/AB-M+waste,CEM II/AB-M+biomass,MEA+CEM II/AB-M+biomass,CEM II/AB-M+NG,MEA+CEM II/AB-M+NG,CEM II/AB-M+H2,MEA+CEM II/AB-M+H2
elec,0.05032521706124693,0.05032521706124693,0.05032521706124693,0.05032521706124693,0.05032521706124693,0.05032521706124693,0.05032521706124693,0.05032521706124693,0.05032521706124693,0.05032521706124693,0.03629570511071946,0.03629570511071946,0.03629570511071946,0.03629570511071946,0.03629570511071946,0.03629570511071946,0.03629570511071946,0.03629570511071946,0.03629570511071946,0.03629570511071946,0.043933994950451076,0.043933994950451076,0.043933994950451076,0.043933994950451076,0.043933994950451076,0.043933994950451076,0.043933994950451076,0.043933994950451076,0.043933994950451076,0.043933994950451076
coal,0.11324685027316092,0.11324685027316092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0596036054069268,0.0596036054069268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08880937205632092,0.08880937205632092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,0.0,0.0,0.0,0.0,0.5550240653049918,1.4786093153049917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2921179291078904,0.7782154291078904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43525571437075666,1.1595409893707567,0.0,0.0,0.0,0.0
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.5550240653049918,1.4786093153049917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2921179291078904,0.7782154291078904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43525571437075666,1.1595409893707567,0.0,0.0
bio-methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5550240653049918,1.4786093153049917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2921179291078904,0.7782154291078904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43525571437075666,1.1595409893707567
heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naphtha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steam,0.0,0.4440192522439934,0.0,1.1828874522439934,0.0,1.1828874522439934,0.0,1.1828874522439934,0.0,1.1828874522439934,0.0,0.23369434328631233,0.23369434328631233,0.6225723432863124,0.23369434328631233,0.6225723432863124,0.23369434328631233,0.6225723432863124,0.23369434328631233,0.6225723432863124,0.0,0.34820457149660533,0.34820457149660533,0.9276327914966053,0.34820457149660533,0.9276327914966053,0.34820457149660533,0.9276327914966053,0.34820457149660533,0.9276327914966053
waste,0.2402613550957169,0.2402613550957169,0.33163025662779455,0.883478063995997,0.0,0.0,0.0,0.0,0.0,0.0,0.12645334478721942,0.12645334478721942,0.17454224033041818,0.4649884547347353,0.0,0.0,0.0,0.0,0.0,0.0,0.1884154837329569,0.1884154837329569,0.26006793809232304,0.6928327975547556,0.0,0.0,0.0,0.0,0.0,0.0
emissions before cc,0.7436531808453782,0.7436531808453782,0.7433896268754205,1.1789954494400288,0.4816144258202568,0.4816144258202568,0.4816144258202568,0.4816144258202568,0.4816144258202568,0.4816144258202568,0.3913964109712517,0.3913964109712517,0.3912576983554845,0.6205239207579099,0.2534812767475036,0.2534812767475036,0.2534812767475036,0.2534812767475036,0.2534812767475036,0.2534812767475036,0.583180652347165,0.583180652347165,0.5829739705496718,0.9245806419292856,0.3776871023537803,0.3776871023537803,0.3776871023537803,0.3776871023537803,0.3776871023537803,0.3776871023537803
process emission,0.4816144258202568,0.024080721291012862,0.4816144258202568,0.024080721291012862,0.4816144258202568,0.024080721291012862,0.4816144258202568,0.024080721291012862,0.4816144258202568,0.024080721291012862,0.2534812767475036,0.012674063837375191,0.2534812767475036,0.012674063837375191,0.2534812767475036,0.012674063837375191,0.2534812767475036,0.012674063837375191,0.2534812767475036,0.012674063837375191,0.3776871023537803,0.01888435511768903,0.3776871023537803,0.01888435511768903,0.3776871023537803,0.01888435511768903,0.3776871023537803,0.01888435511768903,0.3776871023537803,0.01888435511768903
fuel emissions,0.2620387550251214,0.013101937751256083,0.2617752010551638,-0.06181878814273327,0.0,-0.4494972318527175,0.0,0.0,0.0,0.0,0.13791513422374813,0.006895756711187412,0.13777642160798095,-0.0325362042856491,0.0,-0.2365774904487987,0.0,0.0,0.0,0.0,0.20549354999338468,0.010274677499669243,0.2052868681958916,-0.04847894438561716,0.0,-0.35250046076871006,0.0,0.0,0.0,0.0
