,SiteID,CompanyName,SiteName,Address,CityCode,City,Country,geom,Subsector,DataSource,Emissions_ETS_2014,Emissions_EPRTR_2014,Production,Fuel_Demand,Excess_Heat_100-200C,Excess_Heat_200-500C,Excess_Heat_500C,Excess_Heat_Total
112,113,Saarstahl AG,Saarstahl AG - Werk VÃ¶lklingen,Bismarckstr. 57-59,66333,VÃ¶lklingen,Germany,SRID=4326;POINT(6.847062770056 49.252005178441),Iron and steel,ETS/EPRTR,366062.0,,855176.89,884.91,29.27,0.00,0.00,29.27
113,114,AG der Dillinger HÃ¼ttenwerke,AG der Dillinger HÃ¼ttenwerke,Werkstrasse 1,66763,Dillingen,Germany,SRID=4326;POINT(6.754136982445 49.35717217044),Iron and steel,ETS/EPRTR,746699.0,682000.0,1961614.92,1864.77,61.70,0.00,0.00,61.70
114,115,ZKS Zentralkokerei Saar GmbH,ZKS - Zentralkokerei Saar GmbH,Werkstrasse 1,66763,Dillingen/Saar,Germany,SRID=4326;POINT(6.743575271043 49.347808343611),Iron and steel,ETS/EPRTR,975238.0,975000.0,5557455.59,,0.00,0.00,0.00,0.00
115,116,ROGESA Roheisengesellschaft Saar mbH,ROGESA Roheisengesellschaft Saar mbH,Werkstrasse 1,66763,Dillingen/Saar,Germany,SRID=4326;POINT(6.743652602675 49.352136986735),Iron and steel,ETS/EPRTR,4223992.0,4230000.0,9867892.24,22794.01,630.31,1220.04,0.00,1850.36
123,124,ArcelorMittal Duisburg GmbH,ArcelorMittal Hamburg GmbH,Dradenaustrasse 33,21129,Hamburg,Germany,SRID=4326;POINT(9.900051078411 53.524784970533),Iron and steel,ETS/EPRTR,419519.0,,1146768.93,710.75,0.00,44925,44760,48.20
124,125,Salzgitter Flachstahl GmbH Abt. Umweltschutz / 08 TUI,Salzgitter Flachstahl GmbH Werk Salzgitter,EisenhÃ¼ttenstr. 99,38239,Salzgitter,Germany,SRID=4326;POINT(10.403075314726 52.154764924299),Iron and steel,ETS/EPRTR,4465254.0,8030000.0,11555816.43,20216.08,616.42,278.28,41.17,935.88
126,127,Peiner TrÃ¤ger GmbH,Peiner TrÃ¤ger GmbH,Gerhard-Lucas-Meyer-Str. 10,31226,Peine,Germany,SRID=4326;POINT(10.238186117919 52.316356455016),Iron and steel,ETS/EPRTR,172462.0,172000.0,402897.64,65.36,0.00,19.61,28065,31.37
135,136,GeorgsmarienhÃ¼tte Holding GmbH,GeorgsmarienhÃ¼tte GmbH,Neue HÃ¼ttenstrasse 1,49124,GeorgsmarienhÃ¼tte,Germany,SRID=4326;POINT(8.049501107037 52.209144397156),Iron and steel,ETS/EPRTR,143456.0,146000.0,335135.18,29.64,0.00,32721,12175,14.23
138,139,ArcelorMittal Bremen GmbH,ArcelorMittal Bremen GmbH,Carl-Benz-Strasse 30,28237,Bremen,Germany,SRID=4326;POINT(8.6867285296 53.124930440425),Iron and steel,ETS/EPRTR,2455775.0,2967000.0,5894265.92,11629.21,359.48,249.15,0.00,608.63
139,140,Outokumpu Nirosta GmbH,ThyssenKrupp Nirosta GmbH,Oberschlesienstr. 16,47807,Krefeld,Germany,SRID=4326;POINT(6.555853402878 51.301673958145),Iron and steel,ETS/EPRTR,,122000.0,,,0.00,0.00,0.00,0.00
